sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B6","unc cdh","cdh snp","ob unc01","Sample","0.391","274.5%","8245","1","8244","-"
"B6","unc cdh","cdh wt","ob unc01","Sample","1.2","130%","8243","3","8240","-"
"B6","unc cdh","unc snp","ob unc01","Sample","61.2","15.7%","8246","155","8091","-"
"B6","unc cdh","unc wt","ob unc01","Sample","98.1","12.4%","8244","247","7997","-"
"B7","unc cdh","cdh snp","ob unc03","Sample","53.3","16.9%","8200","135","8065","-"
"B7","unc cdh","cdh wt","ob unc03","Sample","39.4","19.7%","8201","100","8101","-"
"B7","unc cdh","unc snp","ob unc03","Sample","20.4","27.4%","8195","52","8143","-"
"B7","unc cdh","unc wt","ob unc03","Sample","24.8","24.9%","8192","63","8129","-"
"B8","unc cdh","cdh snp","ob unc05","Sample","27.5","23.7%","8234","69","8165","-"
"B8","unc cdh","cdh wt","ob unc05","Sample","20.7","27.3%","8242","52","8190","-"
"B8","unc cdh","unc snp","ob unc05","Sample","10.3","39%","8241","26","8215","-"
"B8","unc cdh","unc wt","ob unc05","Sample","14.7","32.5%","8233","37","8196","-"
"B9","unc cdh","cdh snp","ob unc06","Sample","18.8","28.5%","8229","48","8181","-"
"B9","unc cdh","cdh wt","ob unc06","Sample","16.0","30.9%","8232","41","8191","-"
"B9","unc cdh","unc snp","ob unc06","Sample","11.3","36.9%","8234","29","8205","-"
"B9","unc cdh","unc wt","ob unc06","Sample","7.0","47.3%","8234","18","8216","-"
"B10","unc cdh","cdh snp","ob unc08","Sample","80.8","13.7%","8245","204","8041","-"
"B10","unc cdh","cdh wt","ob unc08","Sample","63.2","15.5%","8245","160","8085","-"
"B10","unc cdh","unc snp","ob unc08","Sample","51.2","17.2%","8247","130","8117","-"
"B10","unc cdh","unc wt","ob unc08","Sample","71.2","14.6%","8243","180","8063","-"
"B11","unc cdh","cdh snp","ob unc09","Sample","69.6","14.7%","8242","178","8064","-"
"B11","unc cdh","cdh wt","ob unc09","Sample","44.8","18.3%","8247","115","8132","-"
"B11","unc cdh","unc snp","ob unc09","Sample","40.1","19.4%","8247","103","8144","-"
"B11","unc cdh","unc wt","ob unc09","Sample","43.2","18.6%","8242","111","8131","-"
"B12","unc cdh","cdh snp","ob unc10","Sample","63.4","15.2%","8240","166","8074","-"
"B12","unc cdh","cdh wt","ob unc10","Sample","39.2","19.3%","8241","103","8138","-"
"B12","unc cdh","unc snp","ob unc10","Sample","42.7","18.5%","8241","112","8129","-"
"B12","unc cdh","unc wt","ob unc10","Sample","66.2","14.8%","8239","173","8066","-"
"C1","unc cdh","cdh snp","bd epb02","Sample","0.759","168.6%","8216","2","8214","-"
"C1","unc cdh","cdh wt","bd epb02","Sample","1.1","130%","8221","3","8218","-"
"C1","unc cdh","unc snp","bd epb02","Sample","260.7","7.5%","8227","660","7567","-"
"C1","unc cdh","unc wt","bd epb02","Sample","338.8","6.6%","8225","847","7378","-"
"C2","unc cdh","cdh snp","bd epb03","Sample","0.774","168.7%","8233","2","8231","-"
"C2","unc cdh","cdh wt","bd epb03","Sample","0.387","274.5%","8235","1","8234","-"
"C2","unc cdh","unc snp","bd epb03","Sample","198.0","8.7%","8234","496","7738","-"
"C2","unc cdh","unc wt","bd epb03","Sample","269.3","7.4%","8233","667","7566","-"
"C3","unc cdh","cdh snp","bd epb04","Sample","0.0","-","8250","0","8250","-"
"C3","unc cdh","cdh wt","bd epb04","Sample","2.0","95.8%","8248","5","8243","-"
"C3","unc cdh","unc snp","bd epb04","Sample","238.0","8%","8251","583","7668","-"
"C3","unc cdh","unc wt","bd epb04","Sample","328.6","6.8%","8251","794","7457","-"
"C4","unc cdh","cdh snp","bd epb05","Sample","0.391","274.1%","8246","1","8245","-"
"C4","unc cdh","cdh wt","bd epb05","Sample","0.782","168.4%","8247","2","8245","-"
"C4","unc cdh","unc snp","bd epb05","Sample","54.8","16.6%","8247","139","8108","-"
"C4","unc cdh","unc wt","bd epb05","Sample","78.3","13.9%","8247","198","8049","-"
"C5","unc cdh","cdh snp","bd epb06","Sample","1.2","129.8%","8235","3","8232","-"
"C5","unc cdh","cdh wt","bd epb06","Sample","2.4","86%","8236","6","8230","-"
"C5","unc cdh","unc snp","bd epb06","Sample","184.7","9.1%","8236","452","7784","-"
"C5","unc cdh","unc wt","bd epb06","Sample","259.2","7.7%","8234","627","7607","-"
"C6","unc cdh","cdh snp","bd unc02","Sample","0.404","274%","8238","1","8237","-"
"C6","unc cdh","cdh wt","bd unc02","Sample","0.0","-","8239","0","8239","-"
"C6","unc cdh","unc snp","bd unc02","Sample","34.1","21.4%","8239","84","8155","-"
"C6","unc cdh","unc wt","bd unc02","Sample","84.6","13.5%","8239","207","8032","-"
"C7","unc cdh","cdh snp","bd unc03","Sample","0.398","274.4%","8252","1","8251","-"
"C7","unc cdh","cdh wt","bd unc03","Sample","4.4","61.6%","8252","11","8241","-"
"C7","unc cdh","unc snp","bd unc03","Sample","251.4","7.8%","8254","608","7646","-"
"C7","unc cdh","unc wt","bd unc03","Sample","317.4","6.9%","8254","760","7494","-"
"C8","unc cdh","cdh snp","bd unc04","Sample","0.401","274.1%","8231","1","8230","-"
"C8","unc cdh","cdh wt","bd unc04","Sample","0.401","274.1%","8231","1","8230","-"
"C8","unc cdh","unc snp","bd unc04","Sample","216.9","8.4%","8232","524","7708","-"
"C8","unc cdh","unc wt","bd unc04","Sample","233.3","8.1%","8230","562","7668","-"
"C9","unc cdh","cdh snp","bd unc05","Sample","0.785","168.5%","8215","2","8213","-"
"C9","unc cdh","cdh wt","bd unc05","Sample","0.392","274.3%","8218","1","8217","-"
"C9","unc cdh","unc snp","bd unc05","Sample","48.2","17.7%","8218","122","8096","-"
"C9","unc cdh","unc wt","bd unc05","Sample","61.0","15.8%","8214","154","8060","-"
"C10","unc cdh","cdh snp","bd unc06","Sample","2.8","78.9%","8248","7","8241","-"
"C10","unc cdh","cdh wt","bd unc06","Sample","1.6","109%","8249","4","8245","-"
"C10","unc cdh","unc snp","bd unc06","Sample","457.5","5.7%","8250","1084","7166","-"
"C10","unc cdh","unc wt","bd unc06","Sample","427.9","5.9%","8248","1018","7230","-"
"C11","unc cdh","cdh snp","bd unc07","Sample","0.391","274%","8251","1","8250","-"
"C11","unc cdh","cdh wt","bd unc07","Sample","3.5","68.6%","8252","9","8243","-"
"C11","unc cdh","unc snp","bd unc07","Sample","236.1","8%","8255","583","7672","-"
"C11","unc cdh","unc wt","bd unc07","Sample","320.4","6.8%","8255","781","7474","-"
"C12","unc cdh","cdh snp","bd unc08","Sample","1.9","95.7%","8239","5","8234","-"
"C12","unc cdh","cdh wt","bd unc08","Sample","4.6","58.8%","8239","12","8227","-"
"C12","unc cdh","unc snp","bd unc08","Sample","220.2","8.1%","8240","560","7680","-"
"C12","unc cdh","unc wt","bd unc08","Sample","303.6","6.9%","8239","762","7477","-"
"D1","unc cdh","cdh snp","bd epb02","Sample","1.1","130.1%","8230","3","8227","-"
"D1","unc cdh","cdh wt","bd epb02","Sample","0.758","168.7%","8230","2","8228","-"
"D1","unc cdh","unc snp","bd epb02","Sample","190.1","8.8%","8230","487","7743","-"
"D1","unc cdh","unc wt","bd epb02","Sample","333.5","6.6%","8230","835","7395","-"
"D2","unc cdh","cdh snp","bd epb03","Sample","0.390","274.6%","8243","1","8242","-"
"D2","unc cdh","cdh wt","bd epb03","Sample","1.9","95.8%","8252","5","8247","-"
