sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B6","unccdh","cdh wt","tes unc04","Sample","2833.6","2.3%","8235","4816","3419","-"
"B6","unccdh","unc snp","tes unc04","Sample","75.6","14.1%","8235","191","8044","-"
"B6","unccdh","unc wt","tes unc04","Sample","154.3","9.9%","8235","385","7850","-"
"B7","unccdh","cdh snp","tes unc05","Sample","550.4","5.2%","8234","1297","6937","-"
"B7","unccdh","cdh wt","tes unc05","Sample","2129.1","2.7%","8234","3991","4243","-"
"B7","unccdh","unc snp","tes unc05","Sample","53.5","16.8%","8234","136","8098","-"
"B7","unccdh","unc wt","tes unc05","Sample","108.3","11.8%","8232","273","7959","-"
"B8","unccdh","cdh snp","tes unc06","Sample","679.5","4.7%","8252","1547","6705","-"
"B8","unccdh","cdh wt","tes unc06","Sample","2716.0","2.4%","8252","4653","3599","-"
"B8","unccdh","unc snp","tes unc06","Sample","84.4","13.4%","8252","210","8042","-"
"B8","unccdh","unc wt","tes unc06","Sample","158.0","9.8%","8252","389","7863","-"
"B9","unccdh","cdh snp","tes unc07","Sample","1289.1","3.4%","8251","2728","5523","-"
"B9","unccdh","cdh wt","tes unc07","Sample","5498.5","1.6%","8251","6762","1489","-"
"B9","unccdh","unc snp","tes unc07","Sample","150.2","10%","8251","377","7874","-"
"B9","unccdh","unc wt","tes unc07","Sample","267.3","7.5%","8250","659","7591","-"
"B10","unccdh","cdh snp","tes unc08","Sample","1975.7","2.8%","8175","3746","4429","-"
"B10","unccdh","cdh wt","tes unc08","Sample","7627.9","1.4%","8175","7408","767","-"
"B10","unccdh","unc snp","tes unc08","Sample","240.6","7.9%","8175","588","7587","-"
"B10","unccdh","unc wt","tes unc08","Sample","392.5","6.2%","8173","937","7236","-"
"B11","unccdh","cdh snp","tes unc09","Sample","1647.6","3%","8262","3335","4927","-"
"B11","unccdh","cdh wt","tes unc09","Sample","6192.1","1.5%","8262","7078","1184","-"
"B11","unccdh","unc snp","tes unc09","Sample","236.1","7.9%","8262","590","7672","-"
"B11","unccdh","unc wt","tes unc09","Sample","370.2","6.3%","8262","906","7356","-"
"B12","unccdh","cdh snp","ntc","Non Template Control","0.0","-","8261","0","8261","-"
