sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"G3","slcvsir","vsir wt","kid epb03","Sample","107.1","11.9%","8266","269","7997","-"
"G4","slcvsir","slc snp","kid epb05","Sample","2061.6","2.7%","8264","3894","4370","-"
"G4","slcvsir","slc wt","kid epb05","Sample","942.5","4%","8259","2087","6172","-"
"G4","slcvsir","vsir snp","kid epb05","Sample","91.9","12.8%","8253","231","8022","-"
"G4","slcvsir","vsir wt","kid epb05","Sample","104.3","12%","8260","262","7998","-"
"G5","slcvsir","slc snp","kid epb06","Sample","663.9","4.8%","8258","1516","6742","-"
"G5","slcvsir","slc wt","kid epb06","Sample","308.7","7%","8254","743","7511","-"
"G5","slcvsir","vsir snp","kid epb06","Sample","19.5","28.3%","8253","49","8204","-"
"G5","slcvsir","vsir wt","kid epb06","Sample","36.3","20.6%","8254","91","8163","-"
"G6","slcvsir","slc snp","kid unc01","Sample","622.1","5%","8261","1425","6836","-"
"G6","slcvsir","slc wt","kid unc01","Sample","310.6","7%","8259","745","7514","-"
"G6","slcvsir","vsir snp","kid unc01","Sample","70.8","14.7%","8261","176","8085","-"
"G6","slcvsir","vsir wt","kid unc01","Sample","86.2","13.4%","8261","214","8047","-"
"G7","slcvsir","slc snp","kid unc02","Sample","192.2","9%","8245","465","7780","-"
"G7","slcvsir","slc wt","kid unc02","Sample","69.9","14.9%","8238","172","8066","-"
"G7","slcvsir","vsir snp","kid unc02","Sample","6.4","50.4%","8241","16","8225","-"
"G7","slcvsir","vsir wt","kid unc02","Sample","12.9","35.1%","8245","32","8213","-"
"G8","slcvsir","slc snp","kid unc03","Sample","975.9","3.9%","8265","2145","6120","-"
"G8","slcvsir","slc wt","kid unc03","Sample","322.9","6.9%","8264","782","7482","-"
"G8","slcvsir","vsir snp","kid unc03","Sample","70.5","14.7%","8243","177","8066","-"
"G8","slcvsir","vsir wt","kid unc03","Sample","82.9","13.5%","8254","208","8046","-"
"G9","slcvsir","slc snp","kid unc04","Sample","236.1","8%","8256","583","7673","-"
"G9","slcvsir","slc wt","kid unc04","Sample","75.1","14.2%","8253","190","8063","-"
"G9","slcvsir","vsir snp","kid unc04","Sample","28.3","23.2%","8247","72","8175","-"
"G9","slcvsir","vsir wt","kid unc04","Sample","33.4","21.3%","8246","85","8161","-"
"G10","slcvsir","slc snp","kid unc05","Sample","495.4","5.5%","8257","1168","7089","-"
"G10","slcvsir","slc wt","kid unc05","Sample","153.4","9.9%","8257","381","7876","-"
"G10","slcvsir","vsir snp","kid unc05","Sample","22.9","25.9%","8241","58","8183","-"
"G10","slcvsir","vsir wt","kid unc05","Sample","29.3","22.9%","8249","74","8175","-"
"G11","slcvsir","slc snp","kid unc06","Sample","1174.1","3.6%","8258","2513","5745","-"
"G11","slcvsir","slc wt","kid unc06","Sample","350.1","6.6%","8249","846","7403","-"
"G11","slcvsir","vsir snp","kid unc06","Sample","50.6","17.3%","8251","128","8123","-"
"G11","slcvsir","vsir wt","kid unc06","Sample","50.2","17.4%","8257","127","8130","-"
"G12","slcvsir","slc snp","kid unc07","Sample","5722.0","1.6%","8262","6899","1363","-"
"G12","slcvsir","slc wt","kid unc07","Sample","1500.3","3.1%","8262","3111","5151","-"
"G12","slcvsir","vsir snp","kid unc07","Sample","147.5","10%","8261","375","7886","-"
"G12","slcvsir","vsir wt","kid unc07","Sample","157.2","9.7%","8262","399","7863","-"
"H1","slcvsir","slc snp","kid epb01","Sample","442.9","5.7%","8232","1109","7123","-"
"H1","slcvsir","slc wt","kid epb01","Sample","237.3","7.8%","8232","614","7618","-"
"H1","slcvsir","vsir snp","kid epb01","Sample","31.0","21.6%","8225","83","8142","-"
"H1","slcvsir","vsir wt","kid epb01","Sample","43.8","18.1%","8230","117","8113","-"
"H2","slcvsir","slc snp","kid epb02","Sample","804.9","4.2%","8239","1893","6346","-"
"H2","slcvsir","slc wt","kid epb02","Sample","389.6","6.1%","8231","977","7254","-"
"H2","slcvsir","vsir snp","kid epb02","Sample","81.5","13.3%","8237","215","8022","-"
"H2","slcvsir","vsir wt","kid epb02","Sample","98.9","12.1%","8240","260","7980","-"
"H3","slcvsir","slc snp","kid epb03","Sample","1140.7","3.6%","8247","2512","5735","-"
"H3","slcvsir","slc wt","kid epb03","Sample","570.9","5.1%","8247","1371","6876","-"
"H3","slcvsir","vsir snp","kid epb03","Sample","103.3","11.9%","8218","266","7952","-"
"H3","slcvsir","vsir wt","kid epb03","Sample","123.5","10.9%","8247","318","7929","-"
"H4","slcvsir","slc snp","kid epb05","Sample","2273.0","2.5%","8252","4272","3980","-"
"H4","slcvsir","slc wt","kid epb05","Sample","1043.1","3.7%","8249","2346","5903","-"
"H4","slcvsir","vsir snp","kid epb05","Sample","82.7","13.3%","8251","216","8035","-"
"H4","slcvsir","vsir wt","kid epb05","Sample","98.6","12.2%","8252","257","7995","-"
"H5","slcvsir","slc snp","kid epb06","Sample","742.0","4.4%","8260","1744","6516","-"
"H5","slcvsir","slc wt","kid epb06","Sample","379.1","6.2%","8255","942","7313","-"
"H5","slcvsir","vsir snp","kid epb06","Sample","24.4","24.7%","8248","64","8184","-"
"H5","slcvsir","vsir wt","kid epb06","Sample","41.2","18.9%","8260","108","8152","-"
"H6","slcvsir","slc snp","kid unc01","Sample","704.7","4.5%","8253","1659","6594","-"
"H6","slcvsir","slc wt","kid unc01","Sample","358.1","6.4%","8248","889","7359","-"
"H6","slcvsir","vsir snp","kid unc01","Sample","84.9","13.1%","8251","220","8031","-"
"H6","slcvsir","vsir wt","kid unc01","Sample","99.7","12.1%","8253","258","7995","-"
"H7","slcvsir","slc snp","kid unc02","Sample","215.7","8.2%","8224","546","7678","-"
"H7","slcvsir","slc wt","kid unc02","Sample","94.2","12.5%","8220","243","7977","-"
"H7","slcvsir","vsir snp","kid unc02","Sample","10.3","38.3%","8222","27","8195","-"
"H7","slcvsir","vsir wt","kid unc02","Sample","15.3","31.3%","8224","40","8184","-"
"H8","slcvsir","slc snp","kid unc03","Sample","1052.7","3.7%","8231","2359","5872","-"
"H8","slcvsir","slc wt","kid unc03","Sample","355.2","6.4%","8226","886","7340","-"
"H8","slcvsir","vsir snp","kid unc03","Sample","56.2","16.2%","8227","147","8080","-"
"H8","slcvsir","vsir wt","kid unc03","Sample","79.0","13.6%","8231","206","8025","-"
"H9","slcvsir","slc snp","kid unc04","Sample","274.3","7.3%","8256","698","7558","-"
"H9","slcvsir","slc wt","kid unc04","Sample","77.7","13.7%","8256","204","8052","-"
"H9","slcvsir","vsir snp","kid unc04","Sample","32.6","21.2%","8246","86","8160","-"
"H9","slcvsir","vsir wt","kid unc04","Sample","46.2","17.8%","8257","122","8135","-"
"H10","slcvsir","slc snp","kid unc05","Sample","576.9","5%","8233","1377","6856","-"
"H10","slcvsir","slc wt","kid unc05","Sample","195.4","8.7%","8233","495","7738","-"
"H10","slcvsir","vsir snp","kid unc05","Sample","20.8","26.9%","8195","54","8141","-"
"H10","slcvsir","vsir wt","kid unc05","Sample","27.8","23.2%","8211","72","8139","-"
"H11","slcvsir","slc snp","kid unc06","Sample","1222.8","3.5%","8235","2640","5595","-"
"H11","slcvsir","slc wt","kid unc06","Sample","357.2","6.4%","8233","879","7354","-"
"H11","slcvsir","vsir snp","kid unc06","Sample","41.4","19%","8233","107","8126","-"
"H11","slcvsir","vsir wt","kid unc06","Sample","48.4","17.5%","8235","125","8110","-"
"H12","slcvsir","slc snp","kid unc07","Sample","5909.8","1.7%","6623","5642","981","-"
"H12","slcvsir","slc wt","kid unc07","Sample","1833.1","2.9%","7470","3339","4131","-"
"H12","slcvsir","vsir snp","kid unc07","Sample","145.4","10.5%","7471","343","7128","-"
"H12","slcvsir","vsir wt","kid unc07","Sample","130.6","11%","7476","309","7167","-"
