sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"G4","slcvsir","slc wt","spl epb05","Sample","31.9","21.8%","8244","81","8163","-"
"G4","slcvsir","vsir snp","spl epb05","Sample","139.3","10.4%","8256","348","7908","-"
"G4","slcvsir","vsir wt","spl epb05","Sample","127.4","10.9%","8260","319","7941","-"
"G5","slcvsir","slc snp","spl epb06","Sample","18.9","29.2%","7996","46","7950","-"
"G5","slcvsir","slc wt","spl epb06","Sample","14.5","33.6%","7932","35","7897","-"
"G5","slcvsir","vsir snp","spl epb06","Sample","69.1","15.2%","7998","167","7831","-"
"G5","slcvsir","vsir wt","spl epb06","Sample","70.7","15%","7999","171","7828","-"
"G6","slcvsir","slc snp","spl unc01","Sample","3.2","73.4%","8276","8","8268","-"
"G6","slcvsir","slc wt","spl unc01","Sample","3.2","73.4%","8234","8","8226","-"
"G6","slcvsir","vsir snp","spl unc01","Sample","40.3","19.5%","8276","101","8175","-"
"G6","slcvsir","vsir wt","spl unc01","Sample","32.7","21.7%","8272","82","8190","-"
"G7","slcvsir","slc snp","spl unc02","Sample","10.0","39.9%","8258","25","8233","-"
"G7","slcvsir","slc wt","spl unc02","Sample","8.5","43.7%","8210","21","8189","-"
"G7","slcvsir","vsir snp","spl unc02","Sample","50.5","17.5%","8257","125","8132","-"
"G7","slcvsir","vsir wt","spl unc02","Sample","36.7","20.6%","8254","91","8163","-"
"G8","slcvsir","slc snp","spl unc03","Sample","17.7","29.5%","8264","45","8219","-"
"G8","slcvsir","slc wt","spl unc03","Sample","15.4","31.8%","8246","39","8207","-"
"G8","slcvsir","vsir snp","spl unc03","Sample","71.0","14.7%","8234","178","8056","-"
"G8","slcvsir","vsir wt","spl unc03","Sample","66.4","15.1%","8251","167","8084","-"
"G9","slcvsir","slc snp","spl unc04","Sample","28.2","23.2%","8277","72","8205","-"
"G9","slcvsir","slc wt","spl unc04","Sample","26.2","24%","8273","67","8206","-"
"G9","slcvsir","vsir snp","spl unc04","Sample","97.6","12.4%","8278","247","8031","-"
"G9","slcvsir","vsir wt","spl unc04","Sample","104.9","12%","8279","265","8014","-"
"G10","slcvsir","slc snp","spl unc05","Sample","28.4","23.2%","8274","72","8202","-"
"G10","slcvsir","slc wt","spl unc05","Sample","34.0","21.2%","8270","86","8184","-"
"G10","slcvsir","vsir snp","spl unc05","Sample","99.0","12.4%","8258","248","8010","-"
"G10","slcvsir","vsir wt","spl unc05","Sample","104.1","12.1%","8271","261","8010","-"
"G11","slcvsir","slc snp","spl unc06","Sample","18.9","28.5%","8257","48","8209","-"
"G11","slcvsir","slc wt","spl unc06","Sample","17.0","30.1%","8225","43","8182","-"
"G11","slcvsir","vsir snp","spl unc06","Sample","75.3","14.2%","8257","190","8067","-"
"G11","slcvsir","vsir wt","spl unc06","Sample","78.5","13.9%","8259","198","8061","-"
"G12","slcvsir","slc snp","ntc","Sample","0.0","-","8258","0","8258","-"
"G12","slcvsir","slc wt","ntc","Sample","0.0","-","8255","0","8255","-"
"G12","slcvsir","vsir snp","ntc","Sample","0.0","-","8253","0","8253","-"
"G12","slcvsir","vsir wt","ntc","Sample","0.0","-","8258","0","8258","-"
"H1","slcvsir","slc snp","spl epb02","Sample","22.7","25.2%","8239","61","8178","-"
"H1","slcvsir","slc wt","spl epb02","Sample","26.1","23.5%","8235","70","8165","-"
"H1","slcvsir","vsir snp","spl epb02","Sample","84.0","13%","8240","223","8017","-"
"H1","slcvsir","vsir wt","spl epb02","Sample","77.1","13.6%","8241","205","8036","-"
"H2","slcvsir","slc snp","spl epb03","Sample","17.6","28.9%","8239","47","8192","-"
"H2","slcvsir","slc wt","spl epb03","Sample","23.0","25.3%","8217","61","8156","-"
"H2","slcvsir","vsir snp","spl epb03","Sample","81.5","13.3%","8245","215","8030","-"
"H2","slcvsir","vsir wt","spl epb03","Sample","81.1","13.4%","8247","214","8033","-"
"H3","slcvsir","slc snp","spl epb04","Sample","24.8","24.4%","8248","65","8183","-"
"H3","slcvsir","slc wt","spl epb04","Sample","24.5","24.6%","8224","64","8160","-"
"H3","slcvsir","vsir snp","spl epb04","Sample","87.4","13%","8197","225","7972","-"
"H3","slcvsir","vsir wt","spl epb04","Sample","78.4","13.7%","8237","203","8034","-"
"H4","slcvsir","slc snp","spl epb05","Sample","19.0","27.9%","8241","50","8191","-"
"H4","slcvsir","slc wt","spl epb05","Sample","33.9","20.8%","8226","89","8137","-"
"H4","slcvsir","vsir snp","spl epb05","Sample","121.1","11%","8242","314","7928","-"
"H4","slcvsir","vsir wt","spl epb05","Sample","148.7","9.9%","8243","384","7859","-"
"H5","slcvsir","slc snp","spl epb06","Sample","20.2","27.2%","8228","53","8175","-"
"H5","slcvsir","slc wt","spl epb06","Sample","19.1","28%","8195","50","8145","-"
"H5","slcvsir","vsir snp","spl epb06","Sample","94.5","12.5%","8232","245","7987","-"
"H5","slcvsir","vsir wt","spl epb06","Sample","93.4","12.5%","8232","242","7990","-"
"H6","slcvsir","slc snp","spl unc01","Sample","5.7","52.1%","8249","15","8234","-"
"H6","slcvsir","slc wt","spl unc01","Sample","2.7","78.9%","8187","7","8180","-"
"H6","slcvsir","vsir snp","spl unc01","Sample","29.5","22.4%","8242","77","8165","-"
"H6","slcvsir","vsir wt","spl unc01","Sample","27.5","23.2%","8248","72","8176","-"
"H7","slcvsir","slc snp","spl unc02","Sample","14.2","32.6%","8214","37","8177","-"
"H7","slcvsir","slc wt","spl unc02","Sample","10.4","38.3%","8175","27","8148","-"
"H7","slcvsir","vsir snp","spl unc02","Sample","65.7","15%","8211","170","8041","-"
"H7","slcvsir","vsir wt","spl unc02","Sample","62.6","15.3%","8214","162","8052","-"
"H8","slcvsir","slc snp","spl unc03","Sample","16.3","30.2%","8252","43","8209","-"
"H8","slcvsir","slc wt","spl unc03","Sample","17.5","29.2%","8224","46","8178","-"
"H8","slcvsir","vsir snp","spl unc03","Sample","63.3","15.2%","8254","166","8088","-"
"H8","slcvsir","vsir wt","spl unc03","Sample","67.6","14.7%","8255","177","8078","-"
"H9","slcvsir","slc snp","spl unc04","Sample","20.4","26.9%","8240","54","8186","-"
"H9","slcvsir","slc wt","spl unc04","Sample","24.2","24.7%","8245","64","8181","-"
"H9","slcvsir","vsir snp","spl unc04","Sample","92.9","12.5%","8247","243","8004","-"
"H9","slcvsir","vsir wt","spl unc04","Sample","96.3","12.3%","8250","252","7998","-"
"H10","slcvsir","slc snp","spl unc05","Sample","33.1","21.2%","8235","86","8149","-"
"H10","slcvsir","slc wt","spl unc05","Sample","32.4","21.4%","8224","84","8140","-"
"H10","slcvsir","vsir snp","spl unc05","Sample","98.8","12.2%","8196","253","7943","-"
"H10","slcvsir","vsir wt","spl unc05","Sample","109.0","11.6%","8235","280","7955","-"
"H11","slcvsir","slc snp","spl unc06","Sample","17.3","29.5%","8257","45","8212","-"
"H11","slcvsir","slc wt","spl unc06","Sample","14.2","32.6%","8234","37","8197","-"
"H11","slcvsir","vsir snp","spl unc06","Sample","68.9","14.6%","8261","178","8083","-"
"H11","slcvsir","vsir wt","spl unc06","Sample","65.0","15.1%","8262","168","8094","-"
"H12","slcvsir","slc snp","ntc","Sample","0.0","-","8223","0","8223","-"
"H12","slcvsir","slc wt","ntc","Sample","0.0","-","8217","0","8217","-"
"H12","slcvsir","vsir snp","ntc","Sample","0.0","-","8220","0","8220","-"
"H12","slcvsir","vsir wt","ntc","Sample","0.0","-","8223","0","8223","-"
