sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B7","slccdh","slc wt","si unc01","Sample","1.2","130.2%","8232","3","8229","-"
"B8","slccdh","cdh snp","si unc02","Sample","0.0","-","8249","0","8249","-"
"B8","slccdh","cdh wt","si unc02","Sample","0.0","-","8249","0","8249","-"
"B8","slccdh","slc snp","si unc02","Sample","0.794","168.3%","8249","2","8247","-"
"B8","slccdh","slc wt","si unc02","Sample","0.0","-","8249","0","8249","-"
"B9","slccdh","cdh snp","si unc03","Sample","0.0","-","8264","0","8264","-"
"B9","slccdh","cdh wt","si unc03","Sample","0.0","-","8265","0","8265","-"
"B9","slccdh","slc snp","si unc03","Sample","0.0","-","8265","0","8265","-"
"B9","slccdh","slc wt","si unc03","Sample","0.0","-","8264","0","8264","-"
"B10","slccdh","cdh snp","si unc04","Sample","0.391","274.2%","8255","1","8254","-"
"B10","slccdh","cdh wt","si unc04","Sample","0.0","-","8255","0","8255","-"
"B10","slccdh","slc snp","si unc04","Sample","7.4","46%","8255","19","8236","-"
"B10","slccdh","slc wt","si unc04","Sample","4.7","58.7%","8253","12","8241","-"
"B11","slccdh","cdh snp","si unc05","Sample","0.0","-","8277","0","8277","-"
"B11","slccdh","cdh wt","si unc05","Sample","0.0","-","8277","0","8277","-"
"B11","slccdh","slc snp","si unc05","Sample","4.2","61.7%","8277","11","8266","-"
"B11","slccdh","slc wt","si unc05","Sample","3.1","73.4%","8266","8","8258","-"
"B12","slccdh","cdh snp","si unc06","Sample","0.378","274.1%","8237","1","8236","-"
"B12","slccdh","cdh wt","si unc06","Sample","0.0","-","8237","0","8237","-"
"B12","slccdh","slc snp","si unc06","Sample","1.1","129.9%","8237","3","8234","-"
"B12","slccdh","slc wt","si unc06","Sample","2.7","78.9%","8229","7","8222","-"
"C1","slccdh","cdh snp","cb epb01","Sample","23.9","24.8%","8255","63","8192","-"
"C1","slccdh","cdh wt","cb epb01","Sample","34.6","20.6%","8248","91","8157","-"
"C1","slccdh","slc snp","cb epb01","Sample","911.4","4%","8256","2093","6163","-"
"C1","slccdh","slc wt","cb epb01","Sample","797.8","4.3%","8255","1864","6391","-"
"C2","slccdh","cdh snp","cb epb03","Sample","25.9","24.1%","8269","67","8202","-"
"C2","slccdh","cdh wt","cb epb03","Sample","29.8","22.4%","8264","77","8187","-"
"C2","slccdh","slc snp","cb epb03","Sample","980.2","3.9%","8272","2190","6082","-"
"C2","slccdh","slc wt","cb epb03","Sample","845.4","4.2%","8271","1927","6344","-"
"C3","slccdh","cdh snp","cb epb04","Sample","17.0","30.2%","8250","43","8207","-"
"C3","slccdh","cdh wt","cb epb04","Sample","26.9","23.9%","8246","68","8178","-"
"C3","slccdh","slc snp","cb epb04","Sample","722.5","4.6%","8258","1647","6611","-"
"C3","slccdh","slc wt","cb epb04","Sample","649.0","4.8%","8255","1495","6760","-"
"C4","slccdh","cdh snp","cb epb05","Sample","17.2","29.8%","8271","44","8227","-"
"C4","slccdh","cdh wt","cb epb05","Sample","19.5","27.9%","8272","50","8222","-"
"C4","slccdh","slc snp","cb epb05","Sample","803.8","4.3%","8274","1826","6448","-"
"C4","slccdh","slc wt","cb epb05","Sample","698.7","4.6%","8272","1612","6660","-"
"C5","slccdh","cdh snp","cb epb06","Sample","49.9","17.6%","8202","124","8078","-"
"C5","slccdh","cdh wt","cb epb06","Sample","51.1","17.4%","8203","127","8076","-"
"C5","slccdh","slc snp","cb epb06","Sample","1139.7","3.7%","8203","2412","5791","-"
"C5","slccdh","slc wt","cb epb06","Sample","1002.7","3.9%","8201","2164","6037","-"
"C6","slccdh","cdh snp","cb unc02","Sample","21.0","27.3%","8249","52","8197","-"
"C6","slccdh","cdh wt","cb unc02","Sample","21.8","26.8%","8246","54","8192","-"
"C6","slccdh","slc snp","cb unc02","Sample","906.5","4.1%","8250","1969","6281","-"
"C6","slccdh","slc wt","cb unc02","Sample","918.3","4.1%","8249","1991","6258","-"
"C7","slccdh","cdh snp","cb unc04","Sample","28.9","23.4%","8103","71","8032","-"
"C7","slccdh","cdh wt","cb unc04","Sample","23.2","26.1%","8100","57","8043","-"
"C7","slccdh","slc snp","cb unc04","Sample","891.1","4.2%","8108","1926","6182","-"
"C7","slccdh","slc wt","cb unc04","Sample","1001.3","3.9%","8105","2129","5976","-"
"C8","slccdh","cdh snp","cb unc06","Sample","16.8","30.5%","8243","42","8201","-"
"C8","slccdh","cdh wt","cb unc06","Sample","0.0","-","8244","0","8244","-"
"C8","slccdh","slc snp","cb unc06","Sample","874.5","4.2%","8244","1920","6324","-"
