sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B6","uncsgpl","unc wt","si epb06","Sample","0.390","274.5%","8269","1","8268","-"
"B6","uncsgpl","vsir snp","si epb06","Sample","0.780","168.7%","8262","2","8260","-"
"B6","uncsgpl","vsir wt","si epb06","Sample","0.0","-","8269","0","8269","-"
"B7","uncsgpl","unc snp","si unc01","Sample","0.0","-","8264","0","8264","-"
"B7","uncsgpl","unc wt","si unc01","Sample","0.0","-","8264","0","8264","-"
"B7","uncsgpl","vsir snp","si unc01","Sample","0.389","274.9%","8264","1","8263","-"
"B7","uncsgpl","vsir wt","si unc01","Sample","0.0","-","8264","0","8264","-"
"B8","uncsgpl","unc snp","si unc02","Sample","0.0","-","8264","0","8264","-"
"B8","uncsgpl","unc wt","si unc02","Sample","0.792","168.3%","8264","2","8262","-"
"B8","uncsgpl","vsir snp","si unc02","Sample","0.792","168.3%","8264","2","8262","-"
"B8","uncsgpl","vsir wt","si unc02","Sample","0.0","-","8264","0","8264","-"
"B9","uncsgpl","unc snp","si unc03","Sample","0.388","274.1%","8276","1","8275","-"
"B9","uncsgpl","unc wt","si unc03","Sample","1.2","129.9%","8276","3","8273","-"
"B9","uncsgpl","vsir snp","si unc03","Sample","0.388","274.1%","8276","1","8275","-"
"B9","uncsgpl","vsir wt","si unc03","Sample","0.0","-","8276","0","8276","-"
"B10","uncsgpl","unc snp","si unc04","Sample","4.3","61.6%","8264","11","8253","-"
"B10","uncsgpl","unc wt","si unc04","Sample","3.1","73.3%","8255","8","8247","-"
"B10","uncsgpl","vsir snp","si unc04","Sample","2.0","95.6%","8264","5","8259","-"
"B10","uncsgpl","vsir wt","si unc04","Sample","1.2","129.9%","8266","3","8263","-"
"B11","uncsgpl","unc snp","si unc05","Sample","5.4","54.2%","8270","14","8256","-"
"B11","uncsgpl","unc wt","si unc05","Sample","3.1","73.4%","8265","8","8257","-"
"B11","uncsgpl","vsir snp","si unc05","Sample","3.1","73.4%","8257","8","8249","-"
"B11","uncsgpl","vsir wt","si unc05","Sample","0.771","168.9%","8270","2","8268","-"
"B12","uncsgpl","unc snp","si unc06","Sample","1.5","109%","8252","4","8248","-"
"B12","uncsgpl","unc wt","si unc06","Sample","1.9","95.6%","8251","5","8246","-"
"B12","uncsgpl","vsir snp","si unc06","Sample","1.1","129.9%","8252","3","8249","-"
"B12","uncsgpl","vsir wt","si unc06","Sample","1.1","129.9%","8252","3","8249","-"
"C1","uncsgpl","unc snp","cb epb01","Sample","361.0","6.3%","8257","903","7354","-"
"C1","uncsgpl","unc wt","cb epb01","Sample","530.5","5.2%","8256","1292","6964","-"
"C1","uncsgpl","vsir snp","cb epb01","Sample","318.5","6.8%","8257","802","7455","-"
"C1","uncsgpl","vsir wt","cb epb01","Sample","393.4","6.1%","8257","979","7278","-"
"C2","uncsgpl","unc snp","cb epb03","Sample","278.0","7.3%","8261","690","7571","-"
"C2","uncsgpl","unc wt","cb epb03","Sample","371.5","6.3%","8261","909","7352","-"
"C2","uncsgpl","vsir snp","cb epb03","Sample","201.5","8.6%","8261","506","7755","-"
"C2","uncsgpl","vsir wt","cb epb03","Sample","255.8","7.6%","8261","637","7624","-"
"C3","uncsgpl","unc snp","cb epb04","Sample","240.0","8%","8254","588","7666","-"
"C3","uncsgpl","unc wt","cb epb04","Sample","346.4","6.6%","8254","835","7419","-"
"C3","uncsgpl","vsir snp","cb epb04","Sample","185.4","9.1%","8253","458","7795","-"
"C3","uncsgpl","vsir wt","cb epb04","Sample","235.8","8%","8253","578","7675","-"
