sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B5","uncvsir","vsir wt","lun epb05","Sample","4.0","64.8%","8057","10","8047","-"
"B6","uncvsir","unc snp","lun epb06","Sample","7.8","44.9%","8251","20","8231","-"
"B6","uncvsir","unc wt","lun epb06","Sample","26.3","24.1%","8245","67","8178","-"
"B6","uncvsir","vsir snp","lun epb06","Sample","425.5","5.9%","8249","1020","7229","-"
"B6","uncvsir","vsir wt","lun epb06","Sample","487.8","5.8%","7434","1044","6390","-"
"B7","uncvsir","unc snp","lun unc03","Sample","0.784","168.9%","8192","2","8190","-"
"B7","uncvsir","unc wt","lun unc03","Sample","29.6","22.8%","8180","75","8105","-"
"B7","uncvsir","vsir snp","lun unc03","Sample","722.3","4.7%","7750","1561","6189","-"
"B7","uncvsir","vsir wt","lun unc03","Sample","818.2","5.1%","5811","1307","4504","-"
"B8","uncvsir","unc snp","lun unc04","Sample","18.5","29.1%","8142","46","8096","-"
"B8","uncvsir","unc wt","lun unc04","Sample","27.5","23.8%","8131","68","8063","-"
"B8","uncvsir","vsir snp","lun unc04","Sample","296.6","7.4%","7700","667","7033","-"
"B8","uncvsir","vsir wt","lun unc04","Sample","325.3","7.5%","6828","646","6182","-"
"B9","uncvsir","unc snp","lun unc05","Sample","2.0","95.6%","8189","5","8184","-"
"B9","uncvsir","unc wt","lun unc05","Sample","28.8","23%","8189","73","8116","-"
"B9","uncvsir","vsir snp","lun unc05","Sample","495.6","5.9%","7154","1023","6131","-"
"B9","uncvsir","vsir wt","lun unc05","Sample","578.4","5.7%","6516","1074","5442","-"
"B10","uncvsir","unc snp","lun unc06","Sample","7.1","47.4%","8224","18","8206","-"
"B10","uncvsir","unc wt","lun unc06","Sample","31.5","22%","8216","80","8136","-"
"B10","uncvsir","vsir snp","lun unc06","Sample","693.5","4.9%","7548","1461","6087","-"
"B10","uncvsir","vsir wt","lun unc06","Sample","809.9","4.8%","6621","1471","5150","-"
