sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"G5","psapvsir","psap snp","cb epb06","Sample","428.1","6%","8123","996","7127","-"
"G5","psapvsir","psap wt","cb epb06","Sample","308.9","7.2%","7818","704","7114","-"
"G5","psapvsir","vsir snp","cb epb06","Sample","2.0","95.9%","8123","5","8118","-"
"G5","psapvsir","vsir wt","cb epb06","Sample","4.8","58.9%","8123","12","8111","-"
"G6","psapvsir","psap snp","cb unc02","Sample","398.8","6.2%","8250","943","7307","-"
"G6","psapvsir","psap wt","cb unc02","Sample","293.5","7.2%","8249","705","7544","-"
"G6","psapvsir","vsir snp","cb unc02","Sample","2.0","95.8%","8245","5","8240","-"
"G6","psapvsir","vsir wt","cb unc02","Sample","1.6","109.2%","8250","4","8246","-"
"G7","psapvsir","psap snp","cb unc04","Sample","466.8","5.7%","8251","1085","7166","-"
"G7","psapvsir","psap wt","cb unc04","Sample","352.0","6.6%","8249","832","7417","-"
"G7","psapvsir","vsir snp","cb unc04","Sample","2.0","95.7%","8250","5","8245","-"
"G7","psapvsir","vsir wt","cb unc04","Sample","2.0","95.7%","8251","5","8246","-"
"G8","psapvsir","psap snp","cb unc06","Sample","351.5","6.6%","8267","848","7419","-"
"G8","psapvsir","psap wt","cb unc06","Sample","300.3","7.1%","8266","730","7536","-"
"G8","psapvsir","vsir snp","cb unc06","Sample","1.2","130.1%","8244","3","8241","-"
"G8","psapvsir","vsir wt","cb unc06","Sample","0.786","168.8%","8263","2","8261","-"
"G9","psapvsir","psap snp","cb unc07","Sample","443.4","5.8%","8264","1062","7202","-"
"G9","psapvsir","psap wt","cb unc07","Sample","362.5","6.4%","8265","879","7386","-"
"G9","psapvsir","vsir snp","cb unc07","Sample","1.6","109%","8264","4","8260","-"
"G9","psapvsir","vsir wt","cb unc07","Sample","2.3","86.1%","8265","6","8259","-"
"G10","psapvsir","psap snp","cb unc09","Sample","441.1","5.9%","8276","1051","7225","-"
"G10","psapvsir","psap wt","cb unc09","Sample","339.8","6.7%","8276","822","7454","-"
"G10","psapvsir","vsir snp","cb unc09","Sample","0.786","168.8%","8264","2","8262","-"
"G10","psapvsir","vsir wt","cb unc09","Sample","2.7","79.1%","8272","7","8265","-"
"G11","psapvsir","psap snp","cb unc10","Sample","396.6","6.1%","8279","955","7324","-"
"G11","psapvsir","psap wt","cb unc10","Sample","321.0","6.8%","8279","782","7497","-"
"G11","psapvsir","vsir snp","cb unc10","Sample","2.0","95.6%","8269","5","8264","-"
"G11","psapvsir","vsir wt","cb unc10","Sample","2.0","95.6%","8279","5","8274","-"
"G12","psapvsir","psap snp","ntc","Sample","0.0","-","8264","0","8264","-"
"G12","psapvsir","psap wt","ntc","Sample","0.0","-","8263","0","8263","-"
"G12","psapvsir","vsir snp","ntc","Sample","0.0","-","8260","0","8260","-"
"G12","psapvsir","vsir wt","ntc","Sample","0.0","-","8264","0","8264","-"
"H1","psapvsir","psap snp","cb epb01","Sample","407.8","5.9%","8234","1027","7207","-"
"H1","psapvsir","psap wt","cb epb01","Sample","373.0","6.2%","8228","944","7284","-"
"H1","psapvsir","vsir snp","cb epb01","Sample","4.8","56.2%","8224","13","8211","-"
"H1","psapvsir","vsir wt","cb epb01","Sample","3.0","73.2%","8233","8","8225","-"
"H2","psapvsir","psap snp","cb epb03","Sample","442.8","5.7%","8237","1102","7135","-"
"H2","psapvsir","psap wt","cb epb03","Sample","331.2","6.6%","8229","838","7391","-"
"H2","psapvsir","vsir snp","cb epb03","Sample","4.5","58.8%","8233","12","8221","-"
"H2","psapvsir","vsir wt","cb epb03","Sample","4.1","61.7%","8235","11","8224","-"
"H3","psapvsir","psap snp","cb epb04","Sample","360.6","6.4%","8223","892","7331","-"
"H3","psapvsir","psap wt","cb epb04","Sample","274.0","7.3%","8221","687","7534","-"
"H3","psapvsir","vsir snp","cb epb04","Sample","2.3","86.2%","8186","6","8180","-"
"H3","psapvsir","vsir wt","cb epb04","Sample","2.7","79%","8223","7","8216","-"
"H4","psapvsir","psap snp","cb epb05","Sample","398.8","6.1%","8053","967","7086","-"
"H4","psapvsir","psap wt","cb epb05","Sample","333.0","6.7%","8053","816","7237","-"
"H4","psapvsir","vsir snp","cb epb05","Sample","2.3","86.2%","8043","6","8037","-"
"H4","psapvsir","vsir wt","cb epb05","Sample","1.5","109.2%","8053","4","8049","-"
"H6","psapvsir","psap snp","cb unc02","Sample","378.9","6.2%","8234","936","7298","-"
"H6","psapvsir","psap wt","cb unc02","Sample","275.4","7.3%","8230","691","7539","-"
"H6","psapvsir","vsir snp","cb unc02","Sample","3.4","68.6%","8226","9","8217","-"
"H6","psapvsir","vsir wt","cb unc02","Sample","2.3","86%","8233","6","8227","-"
"H7","psapvsir","psap snp","cb unc04","Sample","497.9","5.4%","8232","1207","7025","-"
"H7","psapvsir","psap wt","cb unc04","Sample","412.9","6%","8230","1014","7216","-"
"H7","psapvsir","vsir snp","cb unc04","Sample","2.7","78.9%","8224","7","8217","-"
"H7","psapvsir","vsir wt","cb unc04","Sample","1.9","95.5%","8232","5","8227","-"
"H8","psapvsir","psap snp","cb unc06","Sample","345.8","6.5%","8256","867","7389","-"
"H8","psapvsir","psap wt","cb unc06","Sample","298.2","7%","8255","753","7502","-"
"H8","psapvsir","vsir snp","cb unc06","Sample","1.1","130.1%","8251","3","8248","-"
"H8","psapvsir","vsir wt","cb unc06","Sample","3.4","68.8%","8253","9","8244","-"
"H9","psapvsir","psap snp","cb unc07","Sample","447.1","5.7%","8249","1106","7143","-"
"H9","psapvsir","psap wt","cb unc07","Sample","397.9","6%","8249","992","7257","-"
"H9","psapvsir","vsir snp","cb unc07","Sample","2.3","86.3%","8242","6","8236","-"
"H9","psapvsir","vsir wt","cb unc07","Sample","4.9","56.4%","8248","13","8235","-"
"H10","psapvsir","psap snp","cb unc09","Sample","460.1","5.6%","8246","1120","7126","-"
"H10","psapvsir","psap wt","cb unc09","Sample","393.2","6.1%","8244","967","7277","-"
"H10","psapvsir","vsir snp","cb unc09","Sample","0.384","274.3%","8205","1","8204","-"
"H10","psapvsir","vsir wt","cb unc09","Sample","2.7","79%","8235","7","8228","-"
"H11","psapvsir","psap snp","cb unc10","Sample","416.4","6%","8239","1016","7223","-"
"H11","psapvsir","psap wt","cb unc10","Sample","288.5","7.2%","8238","718","7520","-"
"H11","psapvsir","vsir snp","cb unc10","Sample","1.2","130%","8234","3","8231","-"
"H11","psapvsir","vsir wt","cb unc10","Sample","5.4","54.1%","8239","14","8225","-"
"H12","psapvsir","psap snp","ntc","Sample","0.990","168.6%","6253","2","6251","-"
"H12","psapvsir","psap wt","ntc","Sample","0.0","-","6252","0","6252","-"
"H12","psapvsir","vsir snp","ntc","Sample","0.0","-","6249","0","6249","-"
"H12","psapvsir","vsir wt","ntc","Sample","0.0","-","6253","0","6253","-"
