sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"B5","psapsgpl","sgpl snp","spl epb06","Sample","2.0","95.6%","8269","5","8264","-"
"B5","psapsgpl","sgpl wt","spl epb06","Sample","4.7","58.7%","8269","12","8257","-"
"B6","psapsgpl","psap snp","spl unc02","Sample","170.4","9.4%","8255","425","7830","-"
"B6","psapsgpl","psap wt","spl unc02","Sample","124.2","11%","8254","312","7942","-"
"B6","psapsgpl","sgpl snp","spl unc02","Sample","7.4","46.1%","8250","19","8231","-"
"B6","psapsgpl","sgpl wt","spl unc02","Sample","5.9","52.2%","8250","15","8235","-"
"B7","psapsgpl","psap snp","spl unc03","Sample","67.3","15%","8241","171","8070","-"
"B7","psapsgpl","psap wt","spl unc03","Sample","54.2","16.7%","8242","138","8104","-"
"B7","psapsgpl","sgpl snp","spl unc03","Sample","2.7","79.1%","8239","7","8232","-"
"B7","psapsgpl","sgpl wt","spl unc03","Sample","1.9","95.9%","8242","5","8237","-"
"B8","psapsgpl","psap snp","spl unc04","Sample","114.7","11.5%","8249","284","7965","-"
"B8","psapsgpl","psap wt","spl unc04","Sample","97.1","12.5%","8245","241","8004","-"
"B8","psapsgpl","sgpl snp","spl unc04","Sample","5.6","54%","8248","14","8234","-"
"B8","psapsgpl","sgpl wt","spl unc04","Sample","2.0","95.5%","8249","5","8244","-"
"B9","psapsgpl","psap snp","spl unc05","Sample","145.1","10.2%","8241","364","7877","-"
"B9","psapsgpl","psap wt","spl unc05","Sample","132.6","10.6%","8232","333","7899","-"
"B9","psapsgpl","sgpl snp","spl unc05","Sample","2.3","86.1%","8235","6","8229","-"
"B9","psapsgpl","sgpl wt","spl unc05","Sample","5.9","52.1%","8241","15","8226","-"
"B10","psapsgpl","psap snp","spl unc06","Sample","103.4","12.1%","8235","260","7975","-"
"B10","psapsgpl","psap wt","spl unc06","Sample","93.4","12.7%","8227","235","7992","-"
"B10","psapsgpl","sgpl snp","spl unc06","Sample","4.7","58.7%","8233","12","8221","-"
"B10","psapsgpl","sgpl wt","spl unc06","Sample","2.7","78.9%","8235","7","8228","-"
"B11","psapsgpl","psap snp","spl unc07","Sample","108.8","11.7%","8252","277","7975","-"
"B11","psapsgpl","psap wt","spl unc07","Sample","105.7","11.9%","8250","269","7981","-"
"B11","psapsgpl","sgpl snp","spl unc07","Sample","5.4","54.2%","8251","14","8237","-"
"B11","psapsgpl","sgpl wt","spl unc07","Sample","4.6","58.9%","8251","12","8239","-"
"B12","psapsgpl","psap snp","spl unc08","Sample","169.1","9.3%","8238","435","7803","-"
"B12","psapsgpl","psap wt","spl unc08","Sample","131.4","10.5%","8237","340","7897","-"
"B12","psapsgpl","sgpl snp","spl unc08","Sample","3.4","68.6%","8233","9","8224","-"
"B12","psapsgpl","sgpl wt","spl unc08","Sample","6.1","50.4%","8238","16","8222","-"
"C1","psapsgpl","psap snp","bd epb02","Sample","264.6","7.4%","8271","673","7598","-"
"C1","psapsgpl","psap wt","bd epb02","Sample","231.5","7.9%","8271","592","7679","-"
"C1","psapsgpl","sgpl snp","bd epb02","Sample","38.3","19.5%","8269","101","8168","-"
"C1","psapsgpl","sgpl wt","bd epb02","Sample","52.1","16.7%","8271","137","8134","-"
"C2","psapsgpl","psap snp","bd epb03","Sample","190.2","8.8%","8270","479","7791","-"
"C2","psapsgpl","psap wt","bd epb03","Sample","173.9","9.2%","8268","439","7829","-"
